date,state,sales
2019-10-06,Alabama,129106730
2019-10-13,Alabama,123782286
2019-10-20,Alabama,116218909
2019-10-27,Alabama,109968011
2019-11-03,Alabama,112189104
2019-11-10,Alabama,110932913
2019-11-17,Alabama,109056410
2019-11-24,Alabama,113040422
2019-12-01,Alabama,109574036
2019-12-08,Alabama,108083724
2019-12-15,Alabama,108528456
2019-12-22,Alabama,116541575
2019-12-29,Alabama,106949922
2020-01-05,Alabama,104239954
2020-01-12,Alabama,108717628
2020-01-19,Alabama,105904866
2020-01-26,Alabama,106265737
2020-02-02,Alabama,108358280
2020-02-09,Alabama,109022482
2020-02-16,Alabama,107397612
2020-02-23,Alabama,107801054
2020-03-01,Alabama,116651493
2020-03-08,Alabama,119441834
2020-03-15,Alabama,132632134
2020-03-22,Alabama,127145065
2020-03-29,Alabama,116657084
2020-04-05,Alabama,123259529
2020-04-12,Alabama,117506179
2020-04-19,Alabama,117742073
2020-04-26,Alabama,118114595
2020-05-03,Alabama,128066131
2020-05-10,Alabama,127906087
2020-05-17,Alabama,130340051
2020-05-24,Alabama,134708619
2020-05-31,Alabama,129887877
2020-06-07,Alabama,132304541
2020-06-14,Alabama,131401893
2020-06-21,Alabama,133712552
2020-06-28,Alabama,132320128
2020-07-05,Alabama,138414683
2020-07-12,Alabama,129799793
2020-07-19,Alabama,133548791
2020-07-26,Alabama,132657649
2020-08-02,Alabama,131945461
2020-08-09,Alabama,137744835
2020-08-16,Alabama,137880677
2020-08-23,Alabama,131642695
2020-08-30,Alabama,128713002
2020-09-06,Alabama,137905687
2020-09-13,Alabama,134469488
2020-09-20,Alabama,129079260
2020-09-27,Alabama,127614100
2020-10-04,Alabama,133713630
2020-10-11,Alabama,128170886
2020-10-18,Alabama,122464550
2020-10-25,Alabama,121301025
2020-11-01,Alabama,120522114
2020-11-08,Alabama,120902500
2020-11-15,Alabama,117987142
2020-11-22,Alabama,124645965
2020-11-29,Alabama,118491656
2020-12-06,Alabama,116104621
2020-12-13,Alabama,116502691
2020-12-20,Alabama,122244236
2020-12-27,Alabama,115522663
2021-01-03,Alabama,115331048
2021-01-10,Alabama,117780959
2021-01-17,Alabama,115816664
2021-01-24,Alabama,113870548
2021-01-31,Alabama,115802738
2021-02-07,Alabama,117468184
2021-02-14,Alabama,115644582
2021-02-21,Alabama,112186375
2021-02-28,Alabama,124158003
2021-03-07,Alabama,126283023
2021-03-14,Alabama,143739698
2021-03-21,Alabama,138119750
2021-03-28,Alabama,124801756
2021-04-04,Alabama,131843895
2021-04-11,Alabama,126097509
2021-04-18,Alabama,126192682
2021-04-25,Alabama,127348328
2021-05-02,Alabama,134697460
2021-05-09,Alabama,136554064
2021-05-16,Alabama,135462842
2021-05-23,Alabama,140446890
2021-05-30,Alabama,139935911
2021-06-06,Alabama,140893518
2021-06-13,Alabama,137083192
2021-06-20,Alabama,144489981
2021-06-27,Alabama,140720826
2021-07-04,Alabama,150209239
2021-07-11,Alabama,137692247
2021-07-18,Alabama,143840884
2021-07-25,Alabama,143718288
2021-08-01,Alabama,146096098
2021-08-08,Alabama,151796623
2021-08-15,Alabama,149096388
2021-08-22,Alabama,142623393
2021-08-29,Alabama,140962323
2021-09-05,Alabama,148892734
2021-09-12,Alabama,142022733
2021-09-19,Alabama,133797917
2021-09-26,Alabama,133378009
2021-10-03,Alabama,203436378
2021-10-10,Alabama,198855812
2021-10-17,Alabama,195850755
2021-10-24,Alabama,189687422
2021-10-31,Alabama,189048085
2021-11-07,Alabama,184678477
2021-11-14,Alabama,184911321
2021-11-21,Alabama,190608741
2021-11-28,Alabama,177133617
2021-12-05,Alabama,180600248
2021-12-12,Alabama,182041354
2021-12-19,Alabama,189045387
2021-12-26,Alabama,183210806
2022-01-02,Alabama,179002839
2022-01-09,Alabama,178676924
2022-01-16,Alabama,180918293
2022-01-23,Alabama,177754219
2022-01-30,Alabama,179630073
2022-02-06,Alabama,184970125
2022-02-13,Alabama,181195482
2022-02-20,Alabama,178404182
2022-02-27,Alabama,192108735
2022-03-06,Alabama,197917628
2022-03-13,Alabama,194057784
2022-03-20,Alabama,194303303
2022-03-27,Alabama,195635389
2022-04-03,Alabama,200427370
2022-04-10,Alabama,202888791
2022-04-17,Alabama,199965775
2022-04-24,Alabama,197876829
2022-05-01,Alabama,207976103
2022-05-08,Alabama,207537233
2022-05-15,Alabama,208193477
2022-05-22,Alabama,219547509
2022-05-29,Alabama,212449962
2022-06-05,Alabama,209711182
2022-06-12,Alabama,209838488
2022-06-19,Alabama,220358695
2022-06-26,Alabama,220100179
2022-07-03,Alabama,226966251
2022-07-10,Alabama,212433149
2022-07-17,Alabama,212769923
2022-07-24,Alabama,215436686
2022-07-31,Alabama,221654891
2022-08-07,Alabama,226809535
2022-08-14,Alabama,224323610
2022-08-21,Alabama,215153556
2022-08-28,Alabama,215670829
2022-09-04,Alabama,227759611
2022-09-11,Alabama,215165395
2022-09-18,Alabama,213270228
2022-09-25,Alabama,215556916
2022-10-02,Alabama,218622107
2022-10-09,Alabama,211016006
2022-10-16,Alabama,204418181
2022-10-23,Alabama,198480435
2022-10-30,Alabama,194245502
2022-11-06,Alabama,197814663
2022-11-13,Alabama,194267617
2022-11-20,Alabama,197053090
2022-11-27,Alabama,192420637
2022-12-04,Alabama,191867741
2022-12-11,Alabama,194239369
2022-12-18,Alabama,200415284
2022-12-25,Alabama,200741724
2023-01-01,Alabama,184497797
2023-01-08,Alabama,186490148
2023-01-15,Alabama,185544784
2023-01-22,Alabama,182246125
2023-01-29,Alabama,183105938
2023-02-05,Alabama,192305584
2023-02-12,Alabama,191999971
2023-02-19,Alabama,191443698
2023-02-26,Alabama,199003416
2023-03-05,Alabama,209478343
2023-03-12,Alabama,218905536
2023-03-19,Alabama,210866567
2023-03-26,Alabama,202214026
2023-04-02,Alabama,205535419
2023-04-09,Alabama,202345732
2023-04-16,Alabama,203132041
2023-04-23,Alabama,206852539
2023-04-30,Alabama,211451723
2023-05-07,Alabama,219573277
2019-10-06,Arizona,119877789
2019-10-13,Arizona,117122712
