date,state,sales,lag_1,lag_7,lag_30,rolling_mean_4,rolling_std_4,rolling_mean_12,day_of_week,month,week_of_year,is_holiday,quarter,year
2020-05-03,Alabama,128066131,118114595.0,132632134.0,129106730.0,120357244.5,5145357.27005214,119367898.58333333,6,5,18,0,2,2020
2020-05-10,Alabama,127906087,128066131.0,127145065.0,123782286.0,122957221.5,5809217.713021125,121076938.16666667,6,5,19,0,2,2020
2020-05-17,Alabama,130340051,127906087.0,116657084.0,116218909.0,126106716.0,5442798.4970580535,122955187.91666667,6,5,20,0,2,2020
2020-05-24,Alabama,134708619,130340051.0,123259529.0,109968011.0,130255222.0,3170199.544369212,124459948.41666667,6,5,21,0,2,2020
2020-05-31,Alabama,129887877,134708619.0,117506179.0,112189104.0,130710658.5,2867265.176317628,125330452.0,6,5,22,0,2,2020
2020-06-07,Alabama,132304541,129887877.0,117742073.0,110932913.0,131810272.0,2198626.0483641643,125303152.58333333,6,6,23,0,2,2020
2020-06-14,Alabama,131401893,132304541.0,118114595.0,109056410.0,132075732.5,2018680.7583332944,125657888.25,6,6,24,0,2,2020
2020-06-21,Alabama,133712552,131401893.0,128066131.0,113040422.0,131826715.75,1604604.3540149296,127079177.25,6,6,25,0,2,2020
2020-06-28,Alabama,132320128,133712552.0,127906087.0,109574036.0,132434778.5,953880.516097145,127834227.16666667,6,6,26,0,2,2020
2020-07-05,Alabama,138414683,132320128.0,130340051.0,108083724.0,133962314.0,3116541.95782453,129576602.5,6,7,27,0,3,2020
2020-07-12,Alabama,129799793,138414683.0,134708619.0,108528456.0,133561789.0,3617902.0440186164,130581412.5,6,7,28,0,3,2020
2020-07-19,Alabama,133548791,129799793.0,129887877.0,116541575.0,133520848.75,3616553.638014005,131867595.5,6,7,29,0,3,2020
2020-07-26,Alabama,132657649,133548791.0,132304541.0,106949922.0,133605229.0,3582982.1858546943,132250222.0,6,7,30,0,3,2020
2020-08-02,Alabama,131945461,132657649.0,131401893.0,104239954.0,131987923.5,1599432.9981635446,132586836.5,6,8,31,0,3,2020
2020-08-09,Alabama,137744835,131945461.0,133712552.0,108717628.0,133974184.0,2597931.843165784,133203901.83333333,6,8,32,0,3,2020
2020-08-16,Alabama,137880677,137744835.0,132320128.0,105904866.0,135057155.5,3195630.8120388007,133468240.0,6,8,33,0,3,2020
2020-08-23,Alabama,131642695,137880677.0,138414683.0,106265737.0,134803417.0,3477525.2224124507,133614474.83333333,6,8,34,0,3,2020
2020-08-30,Alabama,128713002,131642695.0,129799793.0,108358280.0,133995302.25,4567734.288651324,133315179.91666667,6,8,35,1,3,2020
2020-09-06,Alabama,137905687,128713002.0,133548791.0,109022482.0,134035515.25,4612238.585307466,133857162.75,6,9,36,0,3,2020
2020-09-13,Alabama,134469488,137905687.0,132657649.0,107397612.0,133182718.0,3929047.60169036,133920240.75,6,9,37,0,3,2020
2020-09-20,Alabama,129079260,134469488.0,131945461.0,107801054.0,132541859.25,4439825.151830308,133650168.41666667,6,9,38,0,3,2020
2020-09-27,Alabama,127614100,129079260.0,137744835.0,116651493.0,132267133.75,4776920.525476536,132750119.83333333,6,9,39,0,3,2020
2020-10-04,Alabama,133713630,127614100.0,137880677.0,119441834.0,131219119.5,3384407.4959300878,133076272.91666667,6,10,40,0,4,2020
2020-10-11,Alabama,128170886,133713630.0,131642695.0,132632134.0,129644469.0,2779171.194897997,132628114.16666667,6,10,41,0,4,2020
2020-10-18,Alabama,122464550,128170886.0,128713002.0,127145065.0,127990791.5,4599440.405401048,131778689.25,6,10,42,0,4,2020
2020-10-25,Alabama,121301025,122464550.0,137905687.0,116657084.0,126412522.75,5718738.394609747,130891652.91666667,6,10,43,1,4,2020
2020-11-01,Alabama,120522114,121301025.0,134469488.0,123259529.0,123114643.75,3464035.7508480847,129456426.16666667,6,11,44,0,4,2020
2020-11-08,Alabama,120902500,120522114.0,129079260.0,117506179.0,121297547.25,840489.2559676155,128041578.08333333,6,11,45,0,4,2020
2020-11-15,Alabama,117987142,120902500.0,127614100.0,117742073.0,120178195.25,1494920.117073704,126903615.33333333,6,11,46,0,4,2020
2020-11-22,Alabama,124645965,117987142.0,133713630.0,118114595.0,121014430.25,2745142.5257428167,126564695.58333333,6,11,47,0,4,2020
2020-11-29,Alabama,118491656,124645965.0,128170886.0,128066131.0,120506815.75,3038571.328981926,124946859.66666667,6,11,48,0,4,2020
2020-12-06,Alabama,116104621,118491656.0,122464550.0,127906087.0,119307346.0,3704348.302130989,123416454.08333333,6,12,49,0,4,2020
2020-12-13,Alabama,116502691,116104621.0,121301025.0,130340051.0,118936233.25,3947101.949745787,122368406.66666667,6,12,50,0,4,2020
