state,rmse,mae,train_size,val_size
Vermont,1087802.0461818397,945033.5490508433,180,8
Wyoming,1182061.4922128536,964140.1275753574,180,8
Rhode Island,1460147.876764792,1327494.4060400045,180,8
South Dakota,1855403.376526682,1625295.77142441,180,8
Maine,2331784.8441766254,2011056.7374239108,180,8
Nebraska,2788836.648615616,2296590.8484040797,180,8
West Virginia,3212658.141689374,2564032.420045346,180,8
New Hampshire,3254038.545942615,2885744.499414915,180,8
New Mexico,3525689.631303755,3134294.5193906054,180,8
Connecticut,3986462.314260107,3477892.7230596524,180,8
Kansas,4242933.860807789,3906774.0201313235,180,8
Utah,4314002.2026403705,3623414.9421984125,180,8
Nevada,4690616.326968655,3925679.4779094234,180,8
Maryland,5313725.634421964,4804945.648142055,180,8
Mississippi,5553422.522414166,4559859.818652526,180,8
Arkansas,5637091.890578519,5253615.090238132,180,8
Iowa,5702003.250226428,5184201.15445723,180,8
Oregon,5743937.345460415,4668338.224848224,180,8
Oklahoma,6194558.421864431,4818659.384862345,180,8
Louisiana,6620791.477478583,4727902.313981947,180,8
South Carolina,6943624.149673538,6397189.743801717,180,8
Kentucky,7034048.074091314,6326741.660130378,180,8
Alabama,7470854.835767286,6034042.965166844,180,8
Colorado,7748542.091235819,6255940.961838331,180,8
Wisconsin,8278004.970730893,7284854.575879332,180,8
Minnesota,8488572.890788043,7310493.588774323,180,8
Washington,8756800.24644274,7457680.080470454,180,8
Massachusetts,9043822.702833107,8226950.414413448,180,8
Missouri,9146980.807648934,8717994.187669542,180,8
Tennessee,9171579.353937948,8309573.578505956,180,8
North Carolina,9389026.923554307,8231362.11492686,180,8
Virginia,9596745.320730159,8925893.04206632,180,8
Indiana,11155759.25440908,10395383.417850085,180,8
Arizona,12325554.030905962,10586651.841248732,180,8
Pennsylvania,13622601.567190055,12661248.903562851,180,8
Georgia,13660299.57450265,11194939.437321618,180,8
Illinois,13728324.340729732,11295419.807256535,180,8
Ohio,13769592.243574183,12205978.63241446,180,8
Michigan,13861615.936722344,12806988.571896262,180,8
Florida,14794677.057918709,13964375.012127727,180,8
New York,22315989.73102328,20283647.96367707,180,8
California,31915238.341368794,26889453.443143502,180,8
Texas,37636988.91223716,32223944.436787546,180,8
